Título,Autor,Ano de publicação,Número de páginas
1984,George Orwell,1949,328
A Cor Púrpura,Alice Walker,1982,295
A Revolução dos Bichos,George Orwell,1945,112
Cem Anos de Solidão,Gabriel García Márquez,1967,417
Dom Casmurro,Machado de Assis,1899,256
Grande Sertão: Veredas,João Guimarães Rosa,1956,624
O Nome do Vento,Patrick Rothfuss,2007,662
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
O Sol é Para Todos,Harper Lee,1960,336
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,464
